PSKDSZS,PSNZWP,KDNRZK,COROKH,COMSCH,CODZIEN,COSTAN,COPRZP,COPTMP,COMSCK
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,1,516,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,2,510,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,3,510,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,4,508,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,5,506,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,6,517,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,7,515,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,8,521,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,9,515,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,10,520,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,11,530,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,12,534,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,13,526,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,14,526,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,15,534,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,16,521,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,17,520,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,18,517,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,19,506,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,20,511,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,21,514,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,22,498,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,23,497,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,24,532,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,25,553,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,26,536,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,27,531,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,28,534,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,29,517,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,1,30,522,,,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,1,525,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,2,522,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,3,523,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,4,513,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,5,503,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,6,501,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,7,499,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,8,491,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,9,492,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,10,493,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,11,498,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,12,507,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,13,500,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,14,503,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,15,497,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,16,493,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,17,498,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,18,502,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,19,499,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,20,514,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,21,517,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,22,546,,,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2024,2,23,561,,,12
