PSKDSZS,PSNZWP,KDNRZK,COROKH,COMSCH,CODZIEN,COSTAN,COPRZP,COPTMP,COMSCK
PSKDSZS,PSNZWP,KDNRZK,COROKH,COMSCH,CODZIEN,COSTAN,COPRZP,COPTMP,COMSCK
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,1,500,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,2,489,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,3,507,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,4,518,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,5,520,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,6,530,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,7,527,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,8,533,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,9,527,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,10,525,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,11,519,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,12,515,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,13,513,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,14,510,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,15,508,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,16,501,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,17,507,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,18,505,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,19,504,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,20,539,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,21,516,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,22,521,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,23,537,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,24,541,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,25,536,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,26,536,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,27,555,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,28,551,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2021,1,29,541,99999.999,99.9,11
