PSKDSZS,PSNZWP,KDNRZK,COROKH,COMSCH,CODZIEN,COSTAN,COPRZP,COPTMP,COMSCK
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,1,520,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,2,519,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,3,516,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,4,512,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,5,513,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,6,504,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,7,504,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,8,511,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,9,512,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,10,521,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,11,516,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,12,524,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,13,535,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,14,528,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,15,533,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,16,524,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,17,518,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,18,518,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,19,516,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,20,509,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,21,507,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,22,505,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,23,504,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,24,500,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,25,499,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,26,497,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,27,497,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,28,492,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,29,489,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,1,30,488,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,1,492,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,2,494,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,3,493,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,4,490,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,5,487,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,6,485,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,7,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,8,498,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,9,496,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,10,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,11,506,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,12,535,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,13,515,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,14,483,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,15,491,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,16,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,17,495,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,18,482,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,19,474,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,20,486,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,21,493,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,22,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,23,508,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,24,511,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,25,505,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,26,501,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,27,506,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,28,507,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,29,508,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,30,504,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,31,500,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,3,1,517,99999.999,99.9,1
