PSKDSZS,PSNZWP,KDNRZK,ZJROKH,ZJMSCH,ZJDZIEN,ZJGRLD,ZJKODZJ,ZJKDPRC,ZJZRST
149180200,WISŁA-CZARNE,Wisła (2),2023,2,13,999,3,8,
149180200,WISŁA-CZARNE,Wisła (2),2023,4,1,999,3,6,
149180200,WISŁA-CZARNE,Wisła (2),2023,4,6,999,3,9,
149180200,WISŁA-CZARNE,Wisła (2),2023,4,14,999,3,7,
149180140,WISŁA,Wisła (2),2023,4,7,999,3,4,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,14,999,3,3,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,15,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,16,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,17,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,18,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,19,999,3,3,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,2,20,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,6,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,7,999,3,3,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,8,999,3,2,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,9,999,3,2,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,10,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2023,4,11,999,3,1,
149180100,SKOCZÓW,Wisła (2),2023,2,21,999,3,3,
149180080,DROGOMYŒL,Wisła (2),2023,2,21,999,3,2,
149180210,ZABRZEG,Wisła (2),2023,2,20,999,3,7,
149180240,GOCZAŁKOWICE,Wisła (2),2023,2,15,999,1,2,
149180240,GOCZAŁKOWICE,Wisła (2),2023,2,16,999,1,2,
149180240,GOCZAŁKOWICE,Wisła (2),2023,2,17,999,1,2,
149180240,GOCZAŁKOWICE,Wisła (2),2023,2,19,999,3,1,
149180240,GOCZAŁKOWICE,Wisła (2),2023,4,7,999,1,2,
149190060,JAWISZOWICE,Wisła (2),2023,2,16,999,3,1,
150200100,POPĘDZYNKA,Wisła (2),2023,2,19,999,7,2,
150200100,POPĘDZYNKA,Wisła (2),2023,2,20,999,7,3,
150200100,POPĘDZYNKA,Wisła (2),2023,2,21,999,7,3,
150210190,ZAWICHOST,Wisła (2),2023,2,19,999,6,1,
150210190,ZAWICHOST,Wisła (2),2023,2,20,999,6,3,
150210190,ZAWICHOST,Wisła (2),2023,2,21,999,3,1,
151210190,PUŁAWY-AZOTY,Wisła (2),2023,2,17,999,1,2,
151210190,PUŁAWY-AZOTY,Wisła (2),2023,2,18,999,1,2,
151210190,PUŁAWY-AZOTY,Wisła (2),2023,2,19,999,1,1,
151210190,PUŁAWY-AZOTY,Wisła (2),2023,2,20,999,1,1,
151210190,PUŁAWY-AZOTY,Wisła (2),2023,2,21,999,1,1,
151210120,DĘBLIN,Wisła (2),2023,2,14,999,1,0,
151210120,DĘBLIN,Wisła (2),2023,2,15,999,1,2,
151210120,DĘBLIN,Wisła (2),2023,2,16,999,1,3,
151210120,DĘBLIN,Wisła (2),2023,2,17,999,1,1,
151210120,DĘBLIN,Wisła (2),2023,2,18,999,1,2,
151210120,DĘBLIN,Wisła (2),2023,2,19,999,1,2,
151210120,DĘBLIN,Wisła (2),2023,2,20,999,1,3,
151210120,DĘBLIN,Wisła (2),2023,2,21,999,1,3,
151210120,DĘBLIN,Wisła (2),2023,2,22,999,1,1,
152210170,WARSZAWA-BULWARY,Wisła (2),2023,2,19,999,1,3,
152210170,WARSZAWA-BULWARY,Wisła (2),2023,2,20,999,1,5,
152200030,WYSZOGRÓD,Wisła (2),2023,2,15,999,1,1,
152200030,WYSZOGRÓD,Wisła (2),2023,2,16,999,1,2,
152200030,WYSZOGRÓD,Wisła (2),2023,2,17,999,1,1,
152200030,WYSZOGRÓD,Wisła (2),2023,2,18,999,1,2,
152200030,WYSZOGRÓD,Wisła (2),2023,2,19,999,1,3,
152200030,WYSZOGRÓD,Wisła (2),2023,2,20,999,1,2,
152200030,WYSZOGRÓD,Wisła (2),2023,2,21,999,1,1,
152200030,WYSZOGRÓD,Wisła (2),2023,2,22,999,1,1,
152190120,KĘPA POLSKA,Wisła (2),2023,2,14,999,1,1,
152190120,KĘPA POLSKA,Wisła (2),2023,2,15,999,1,1,
152190120,KĘPA POLSKA,Wisła (2),2023,2,16,999,1,1,
152190120,KĘPA POLSKA,Wisła (2),2023,2,17,999,1,1,
152190120,KĘPA POLSKA,Wisła (2),2023,2,18,999,1,2,
152190120,KĘPA POLSKA,Wisła (2),2023,2,19,999,1,4,
152190120,KĘPA POLSKA,Wisła (2),2023,2,20,999,1,6,
152190120,KĘPA POLSKA,Wisła (2),2023,2,21,999,1,4,
152190120,KĘPA POLSKA,Wisła (2),2023,2,22,999,1,1,
153180090,TORUŃ,Wisła (2),2023,2,16,999,1,1,
153180090,TORUŃ,Wisła (2),2023,2,17,999,1,1,
153180090,TORUŃ,Wisła (2),2023,2,18,999,1,1,
153180090,TORUŃ,Wisła (2),2023,2,19,999,1,7,
153180090,TORUŃ,Wisła (2),2023,2,20,999,1,5,
153180090,TORUŃ,Wisła (2),2023,3,22,999,1,2,
153180020,FORDON,Wisła (2),2023,2,17,999,1,1,
153180020,FORDON,Wisła (2),2023,2,18,999,1,1,
153180020,FORDON,Wisła (2),2023,2,19,999,1,4,
153180020,FORDON,Wisła (2),2023,2,20,999,1,4,
153180080,CHEŁMNO,Wisła (2),2023,2,18,999,1,1,
153180080,CHEŁMNO,Wisła (2),2023,2,19,999,1,2,
153180080,CHEŁMNO,Wisła (2),2023,2,20,999,1,2,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,17,999,1,1,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,18,999,1,1,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,19,999,1,1,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,20,999,1,1,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,21,999,1,2,
153180100,GRUDZI¥DZ,Wisła (2),2023,2,22,999,1,1,
154180190,GDAŃSK-PRZEGALINA,Wisła (2),2023,4,7,999,42,0,
154190020,TUJSK,Szkarpawa (514),2023,2,19,999,4,0,
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2023,2,21,999,42,0,
